Producto,Marca,Precio,Tienda,Fecha,Medidas,Material,Cantidad,Venta agrupada
MACETA BILLIE GRIS 28.6 CM,OUTZEN,2793,Easy,04-03-2026,28.6CM,DESCONOCIDO,1,0
MACETA BASE MADERA OCRE 21 CM,OUTZEN,6993,Easy,04-03-2026,21CM,NATURAL,1,0
MACETERO L BASIC BLANCO OUTZEN,OUTZEN,10493,Easy,04-03-2026,L,DESCONOCIDO,1,0
MACETERO M COLOMBA OUTZEN,OUTZEN,24990,Easy,04-03-2026,M,DESCONOCIDO,1,0
MACETERO 20 CM S CANASTO NATURAL OUTZEN,OUTZEN,4193,Easy,04-03-2026,20CM,DESCONOCIDO,1,0
MACETA BILLIE BLANCO 28.6 CM,OUTZEN,2793,Easy,04-03-2026,28.6CM,DESCONOCIDO,1,0
MACETERO 18 CM CAPRI ANTRACITA OUTZEN,OUTZEN,2093,Easy,04-03-2026,18CM,DESCONOCIDO,1,0
MACETERO CILINDRO GRAFITO CON PLATO DORADO L 18X18 CM,DECOGREEN,7794,Easy,04-03-2026,18X18,DESCONOCIDO,1,0
MACETERO HAZEL GRIS CLARO OUTZEN,OUTZEN,6993,Easy,04-03-2026,SIN MEDIDAS,DESCONOCIDO,1,0
MACETERO S BASIC JADE OUTZEN,OUTZEN,4893,Easy,04-03-2026,S,DESCONOCIDO,1,0
MACETERO 28 CM BOHO NATURAL OUTZEN,OUTZEN,10493,Easy,04-03-2026,28CM,DESCONOCIDO,1,0
MACETA OLEANDER RUSTED 15 CM,OUTZEN,2990,Easy,04-03-2026,15CM,DESCONOCIDO,1,0
MACETERO 33 CM RUSTIC ROUND PLANTER I JAPI,JAPI,19990,Easy,04-03-2026,33CM,DESCONOCIDO,1,0
MACETERO 33 CM RATAN MARRON REYPLAST,REYPLAST,8980,Easy,04-03-2026,33CM,NATURAL,1,0
MACETA BASE MADERA VERDE 21 CM,GENERICO,6993,Easy,04-03-2026,21CM,NATURAL,1,0
MACETA 34.5 CM FIBER CLAY CLOUD,OUTZEN,16990,Easy,04-03-2026,34.5CM,CEMENTICIO,1,0
MACETA BARRIL ARCE 20.6 CM,OUTZEN,2793,Easy,04-03-2026,20.6CM,DESCONOCIDO,1,0
MACETA BILLIE GRIS 44.45 CM,OUTZEN,8393,Easy,04-03-2026,44.45CM,DESCONOCIDO,1,0
MACETERO CILINDRO GRAFITO CON PLATO DORADO M 15X15 CM,DECOGREEN,6594,Easy,04-03-2026,15X15,DESCONOCIDO,1,0
MACETA BOCAYA BEIGE 46 CM,OUTZEN,35693,Easy,04-03-2026,46CM,DESCONOCIDO,1,0
MACETERO CILINDRO CEMENTO CON PEDESTAL BAMBOO 25X19 CM,DECOGREEN,5394,Easy,04-03-2026,25X19,CEMENTICIO,1,0
MACETA OLEANDER ECRU 19 CM,OUTZEN,4990,Easy,04-03-2026,19CM,DESCONOCIDO,1,0
MACETERO 45 CM RUSTIC ROUND PLANTER II JAPI,JAPI,39990,Easy,04-03-2026,45CM,DESCONOCIDO,1,0
MACETERO S BASIC GRIS OUTZEN,OUTZEN,4893,Easy,04-03-2026,S,DESCONOCIDO,1,0
MACETERO 32.5 CM XL CANASTO NATURAL OUTZEN,OUTZEN,8393,Easy,04-03-2026,32.5CM,DESCONOCIDO,1,0
MACETERO 18 CM ESTILO PIEDRA GREEN TERRA,REYPLAST,2990,Easy,04-03-2026,18CM,DESCONOCIDO,1,0
MACETERO CILINDRO TERRACOTA CON PEDESTAL BAMBOO 25X19 CM,DECOGREEN,6990,Easy,04-03-2026,25X19,DESCONOCIDO,1,0
MACETERO 55 CM FLUTE TALL PLANTER IV JAPI.,JAPI,49990,Easy,04-03-2026,55CM,DESCONOCIDO,1,0
MACETA 29 CM FIBER CLAY PUMPKIN,OUTZEN,12990,Easy,04-03-2026,29CM,CEMENTICIO,1,0
MACETERO CILINDRO VERDE MUSGO CON PLATO DORADO M 15X15 CM,DECOGREEN,6990,Easy,04-03-2026,15X15,DESCONOCIDO,1,0
MACETERO BIODEGRADABLE BAMBOO CUADRADO BLANCO 13.3X13.3X12.4 CM,DECOGREEN,2590,Easy,04-03-2026,13.3X13.3X12.4,DESCONOCIDO,1,0
SET 3 MACETEROS PIZARRA + BANDEJA CREMA,DECOGREEN,6990,Easy,04-03-2026,SIN MEDIDAS,DESCONOCIDO,3,1
MACETA STRIPES AZUL 20 CM,OUTZEN,6993,Easy,04-03-2026,20CM,DESCONOCIDO,1,0
MACETERO 45 CM RUSTIC ROUND PLANTER XI JAPI,JAPI,19990,Easy,04-03-2026,45CM,DESCONOCIDO,1,0
MACETA MURCIA 50 CM,OUTZEN,20993,Easy,04-03-2026,50CM,DESCONOCIDO,1,0
MACETA AZUL 16 CM,OUTZEN,6993,Easy,04-03-2026,16CM,DESCONOCIDO,1,0
MACETERO 16 CM PIEDRA TAUPE REYPLAST.,REYPLAST,2990,Easy,04-03-2026,16CM,DESCONOCIDO,1,0
MACETA CERAMICA ALINE XL GLOSSY AZUL,OUTZEN,13993,Easy,04-03-2026,XL,CERAMICA,1,0
MACETA VERDE 16 CM,OUTZEN,6993,Easy,04-03-2026,16CM,DESCONOCIDO,1,0
MACETERO 20 CM BOHO NATURAL OUTZEN,OUTZEN,6993,Easy,04-03-2026,20CM,DESCONOCIDO,1,0
MACETERO S BASIC BLANCO OUTZEN,OUTZEN,4893,Easy,04-03-2026,S,DESCONOCIDO,1,0
MACETERO 14 CM CAPRI ANTRACITA OUTZEN,OUTZEN,1043,Easy,04-03-2026,14CM,DESCONOCIDO,1,0
MACETA OLEANDER BLUE 15 CM,OUTZEN,2990,Easy,04-03-2026,15CM,DESCONOCIDO,1,0
MACETA TORTUGA 11X23X15.3 CM,OUTZEN,5593,Easy,04-03-2026,11X23X15.3,DESCONOCIDO,1,0
MACETERO ENLOZADO BLANCO 20X18X18 CM,DECOGREEN,12990,Easy,04-03-2026,20X18X18,DESCONOCIDO,1,0
PLATO PARA MACETERO 15 CM PIEDRA BLANCO,REYPLAST,790,Easy,04-03-2026,15CM,DESCONOCIDO,1,0
SET MACETERO ENLOZADO AZUL S+M,DECOGREEN,25990,Easy,04-03-2026,S,DESCONOCIDO,1,0
MACETA LORCA 21 CM,OUTZEN,6993,Easy,04-03-2026,21CM,DESCONOCIDO,1,0
MACETA RUSTIC CASK 55 CM SANDSTONE,JAPI,69990,Easy,04-03-2026,55CM,DESCONOCIDO,1,0
MACETA BILLIE BLANCO 38.6 CM,OUTZEN,6293,Easy,04-03-2026,38.6CM,DESCONOCIDO,1,0
MACETERO L BASIC JADE OUTZEN,OUTZEN,10493,Easy,04-03-2026,L,DESCONOCIDO,1,0
MACETA OVIEDO GRIS 40 CM,OUTZEN,27993,Easy,04-03-2026,40CM,DESCONOCIDO,1,0
MACETA OLEANDER NEGRO 19 CM,OUTZEN,4990,Easy,04-03-2026,19CM,DESCONOCIDO,1,0
MACETERO METALICO BLANCO 12X24X10 CM,DECOGREEN,4194,Easy,04-03-2026,12X24X10,METAL,1,0
MACETERO CON PLATO BIODEGRADABLE BAMBOO CUADRADO BLANCO 12.4X13.3X13.3 CM,DECOGREEN,3990,Easy,04-03-2026,12.4X13.3X13.3,DESCONOCIDO,1,0
MACETA RUSTIC ROUND 33 CM CHARCOAL,JAPI,19990,Easy,04-03-2026,33CM,DESCONOCIDO,1,0
MACETERO CON PLATO BIODEGRADABLE BAMBOO CUADRADO AMARILLO 12.4X13.3X13.3 CM,DECOGREEN,3990,Easy,04-03-2026,12.4X13.3X13.3,DESCONOCIDO,1,0
MACETA LOFT GRIS OSCURO 17 CM,OUTZEN,4193,Easy,04-03-2026,17CM,DESCONOCIDO,1,0
PORTA MACETA COLGANTE 15 CM ROOTS,OUTZEN,2793,Easy,04-03-2026,15CM,DESCONOCIDO,1,0
MACETERO ENLOZADO MOSTAZA 17X15X15 CM,DECOGREEN,9990,Easy,04-03-2026,17X15X15,DESCONOCIDO,1,0
MACETA BARRIL ARCE 31.03 CM,OUTZEN,4893,Easy,04-03-2026,31.03CM,DESCONOCIDO,1,0
MACETERO 57 CM RUSTIC ROUND PLANTER III JAPI.,JAPI,49990,Easy,04-03-2026,57CM,DESCONOCIDO,1,0
MACETA PERRO DORMIDO 18X45X25 CM,OUTZEN,13993,Easy,04-03-2026,18X45X25,DESCONOCIDO,1,0
MACETA HUDSON ANTIQUE BASALT 33.02 CM,OUTZEN,6993,Easy,04-03-2026,33.02CM,DESCONOCIDO,1,0
MACETA BOCAYA 46 CM,OUTZEN,35693,Easy,04-03-2026,46CM,DESCONOCIDO,1,0
MACETA PAMPLONA 75X48 CM,OUTZEN,48993,Easy,04-03-2026,75X48,DESCONOCIDO,1,0
MACETA TALLA L CANASTO BASE BUKAN OUTZEN,OUTZEN,17493,Easy,04-03-2026,L,DESCONOCIDO,1,0
MACETERO L CILINDRO CEMENTO DECOGREEN,DECOGREEN,9990,Easy,04-03-2026,L,CEMENTICIO,1,0
MACETERO 16.8 CM HANOVER MOSTAZA JAPI,JAPI,5098,Easy,04-03-2026,16.8CM,DESCONOCIDO,1,0
MACETERO PERRO OUTZEN,OUTZEN,20993,Easy,04-03-2026,SIN MEDIDAS,DESCONOCIDO,1,0
MACETERO CILINDRO VERDE MUSGO CON PLATO DORADO S 13X13 CM,DECOGREEN,4990,Easy,04-03-2026,13X13,DESCONOCIDO,1,0
MACETERO CILINDRO TERRACOTA 3 PIEZAS DECOGREEN,DECOGREEN,29990,Easy,04-03-2026,SIN MEDIDAS,DESCONOCIDO,1,0
MACETA CERAMICA ELAINE L MOSTAZA,OUTZEN,6990,Easy,04-03-2026,L,CERAMICA,1,0
MACETERO CILINDRO CEMENTO 3 PIEZAS DECOGREEN,DECOGREEN,29990,Easy,04-03-2026,SIN MEDIDAS,CEMENTICIO,1,0
MACETERO ENLOZADO MOSTAZA 14X12X12 CM,DECOGREEN,6990,Easy,04-03-2026,14X12X12,DESCONOCIDO,1,0
MACETA PORTER COTTON 16.6 CM,OUTZEN,2793,Easy,04-03-2026,16.6CM,DESCONOCIDO,1,0
MACETERO HOJA TEXTURA CEMENTO 13.5X13 CM,DECOGREEN,4990,Easy,04-03-2026,13.5X13,CEMENTICIO,1,0
MACETERO 16 CM CAPRI ANTRACITA OUTZEN,OUTZEN,1393,Easy,04-03-2026,16CM,DESCONOCIDO,1,0
MACETA HERA 22X30 CM,OUTZEN,13993,Easy,04-03-2026,22X30,DESCONOCIDO,1,0
MACETA COATI VERDE 15.8 CM,OUTZEN,3493,Easy,04-03-2026,15.8CM,DESCONOCIDO,1,0
MACETERO COLGANTE XL 35 CM NEGRO,DECOGREEN,5994,Easy,04-03-2026,35CM,DESCONOCIDO,1,0
MACETA AGAVE 12X14 CM,OUTZEN,3493,Easy,04-03-2026,12X14,DESCONOCIDO,1,0
MACETERO CON PLATO BIODEGRADABLE BAMBOO CURVO BLANCO 13X16.5X16.5 CM,DECOGREEN,4990,Easy,04-03-2026,13X16.5X16.5,DESCONOCIDO,1,0
MACETERO BIODEGRADABLE BAMBOO BLANCO 24X24X18 CM,DECOGREEN,6990,Easy,04-03-2026,24X24X18,DESCONOCIDO,1,0
MACETERO 24 CM M CANASTO NATURAL OUTZEN,OUTZEN,5593,Easy,04-03-2026,24CM,DESCONOCIDO,1,0
MACETERO N10 TAUPE 28 CM,REYPLAST,3990,Easy,04-03-2026,28CM,DESCONOCIDO,1,0
MACETERO M BASIC BLANCO OUTZEN,OUTZEN,8393,Easy,04-03-2026,M,DESCONOCIDO,1,0
MACETERO 14 CM CAPRI BLANCO OUTZEN,OUTZEN,1043,Easy,04-03-2026,14CM,DESCONOCIDO,1,0
MACETA BOCAYA BEIGE 28 CM,OUTZEN,18193,Easy,04-03-2026,28CM,DESCONOCIDO,1,0
MACETA COATI MOSTAZA 15.8 CM,OUTZEN,3493,Easy,04-03-2026,15.8CM,DESCONOCIDO,1,0
MACETA COLGAR C 16.5 CM,OUTZEN,5593,Easy,04-03-2026,16.5CM,DESCONOCIDO,1,0
MACETA MANOS 6.8X14.5X13.5 CM,OUTZEN,3493,Easy,04-03-2026,6.8X14.5X13.5,DESCONOCIDO,1,0
TIERRA PARA MACETERO 6 LITROS NATURAL,ARMONY,1890,Easy,04-03-2026,6L,DESCONOCIDO,1,0
MACETA LOFT BLANCO 17 CM,OUTZEN,4193,Easy,04-03-2026,17CM,DESCONOCIDO,1,0
MACETA D1 AJOLOTE 12 CM,OUTZEN,4990,Easy,04-03-2026,12CM,DESCONOCIDO,1,0
SOPORTE MACETA DOBLE NEGRO OUTZEN,OUTZEN,13993,Easy,04-03-2026,SIN MEDIDAS,DESCONOCIDO,1,0
MACETA FACE 37X37X33 CM,OUTZEN,20993,Easy,04-03-2026,37X37X33,DESCONOCIDO,1,0
MACETA CERAMICA XL ALINE GLOSSY BLANCO,OUTZEN,13993,Easy,04-03-2026,XL,CERAMICA,1,0
MACETERO M CILINDRO TERRACOTA DECOGREEN,DECOGREEN,6990,Easy,04-03-2026,M,DESCONOCIDO,1,0
PLATO MACETA REDONDO DK-G4 CAFE REYPLAST,REYPLAST,190,Easy,04-03-2026,SIN MEDIDAS,DESCONOCIDO,1,0
MACETA AUTORREGANTE STONE GRAFITO 40 CM,OUTZEN,34993,Easy,04-03-2026,40CM,DESCONOCIDO,1,0
MACETA AUTORREGANTE STONE BEIGE 33 CM,OUTZEN,27993,Easy,04-03-2026,33CM,DESCONOCIDO,1,0
PLATO PARA MACETERO 30 CM PIEDRA BLANCO,REYPLAST,1990,Easy,04-03-2026,30CM,DESCONOCIDO,1,0
MACETERO 24 CM BUDA OUTZEN,OUTZEN,17493,Easy,04-03-2026,24CM,DESCONOCIDO,1,0
MACETERO 18 CM RATAN MARRON REYPLAST,REYPLAST,2980,Easy,04-03-2026,18CM,NATURAL,1,0
MACETA BILLIE BLANCO 30.26 CM,OUTZEN,6993,Easy,04-03-2026,30.26CM,DESCONOCIDO,1,0
MACETERO 20 CM CAPRI TAUPE OUTZEN,OUTZEN,2793,Easy,04-03-2026,20CM,DESCONOCIDO,1,0
MACETERO 20 CM CAPRI BLANCO OUTZEN,OUTZEN,2793,Easy,04-03-2026,20CM,DESCONOCIDO,1,0
MACETERO ENLOZADO MOSTAZA 20X18X18 CM,DECOGREEN,12990,Easy,04-03-2026,20X18X18,DESCONOCIDO,1,0
MACETERO 14 CM CAPRI TAUPE OUTZEN,ARTEVASI,1043,Easy,04-03-2026,14CM,DESCONOCIDO,1,0
MACETERO DURA KOTTA Ndeg 4 ROSA TERRA 9.1X11.5 CM,REYPLAST,490,Easy,04-03-2026,9.1X11.5,DESCONOCIDO,1,0
MACETERO AUTOR REGANTE CHONO NEGRO 28X27 CM,PLANT ME,49990,Easy,04-03-2026,28X27,DESCONOCIDO,1,0
MACETERO ROMBO TEXTURA CEMENTO 13.5X13 CM,DECOGREEN,4194,Easy,04-03-2026,13.5X13,CEMENTICIO,1,0
MACETA BASE MADERA GRIS 21 CM,GENERICO,6993,Easy,04-03-2026,21CM,NATURAL,1,0
MACETERO RUSTICO CASK GRIS OSCURO 47X44 CM,JAPI,44990,Easy,04-03-2026,47X44,DESCONOCIDO,1,0
MACETERO ENLOZADO BLANCO 17X15X15 CM,DECOGREEN,9990,Easy,04-03-2026,17X15X15,DESCONOCIDO,1,0
MACETA TERUEL 16 CM,OUTZEN,10493,Easy,04-03-2026,16CM,DESCONOCIDO,1,0
MACETA 24 CM FIBER CLAY CLOUD,OUTZEN,12990,Easy,04-03-2026,24CM,CEMENTICIO,1,0
MACETA ROJO 16 CM,OUTZEN,6993,Easy,04-03-2026,16CM,DESCONOCIDO,1,0
MACETA AUTORREGANTE STONE BEIGE 40 CM,OUTZEN,34993,Easy,04-03-2026,40CM,DESCONOCIDO,1,0
MACETERO CON PLATO BIODEGRADABLE BAMBOO CUADRADO ROSADO 12.4X13.3X13.3 CM,DECOGREEN,3990,Easy,04-03-2026,12.4X13.3X13.3,DESCONOCIDO,1,0
MACETA D2 AJOLOTE 12 CM,OUTZEN,4990,Easy,04-03-2026,12CM,DESCONOCIDO,1,0
MACETA VIGO 32 CM,OUTZEN,20993,Easy,04-03-2026,32CM,DESCONOCIDO,1,0
MACETA LECCE 77X37X37 CM,OUTZEN,48993,Easy,04-03-2026,77X37X37,DESCONOCIDO,1,0
MACETA URBINO 37.5X80X37 CM,OUTZEN,41993,Easy,04-03-2026,37.5X80X37,DESCONOCIDO,1,0
MACETA TERUEL 49 CM,OUTZEN,34993,Easy,04-03-2026,49CM,DESCONOCIDO,1,0
MACETA ARCADIOS 16 CM,OUTZEN,5593,Easy,04-03-2026,16CM,DESCONOCIDO,1,0
MACETERO L BASIC GRIS,OUTZEN,10493,Easy,04-03-2026,L,DESCONOCIDO,1,0
MACETERO 24 CM ACTUAL NEGRO,DECOGREEN,6990,Easy,04-03-2026,24CM,DESCONOCIDO,1,0
PORTA MACETA COLGANTE 20 CM ROOTS,OUTZEN,3493,Easy,04-03-2026,20CM,DESCONOCIDO,1,0
MACETA ARTEMIS BOWL BLANCO 21 CM,OUTZEN,19990,Easy,04-03-2026,21CM,DESCONOCIDO,1,0
MACETA M BLUE ASSO 22 CM,OUTZEN,5593,Easy,04-03-2026,22CM,DESCONOCIDO,1,0
MACETERO 20 CM CAPRI ANTRACITA OUTZEN,OUTZEN,2793,Easy,04-03-2026,20CM,DESCONOCIDO,1,0
MACETA EMBOSS PERFIL BLANCO 17 CM,OUTZEN,4893,Easy,04-03-2026,17CM,DESCONOCIDO,1,0
MACETERO 57 CM ESSENTIAL PLANTER I JAPI,JAPI,49990,Easy,04-03-2026,57CM,DESCONOCIDO,1,0
SET 2 MACETEROS + BANDEJA CREMA,DECOGREEN,6398,Easy,04-03-2026,SIN MEDIDAS,DESCONOCIDO,2,1
MACETA BILLIE VERDE 28.6 CM,OUTZEN,2793,Easy,04-03-2026,28.6CM,DESCONOCIDO,1,0
PLATO PARA MACETERO 22 CM PIEDRA BLANCO,REYPLAST,1290,Easy,04-03-2026,22CM,DESCONOCIDO,1,0
MACETERO AMALFI BEIGE 36X30 CM,PLANT ME,29990,Easy,04-03-2026,36X30,DESCONOCIDO,1,0
MACETA SARAMANGO BOWL NATURAL 31 CM,OUTZEN,11893,Easy,04-03-2026,31CM,DESCONOCIDO,1,0
MACETA RUSTIC CASK 44 CM CHARCOAL,JAPI,44990,Easy,04-03-2026,44CM,DESCONOCIDO,1,0
MACETERO CON PLATO CILINDRO CEMENTO 13X13X13 CM,DECOGREEN,5990,Easy,04-03-2026,13X13X13,CEMENTICIO,1,0
PORTA MACETA RATAN 32 CM,OUTZEN,13993,Easy,04-03-2026,32CM,NATURAL,1,0
MACETERO 25 CM RATAN MARRON REYPLAST,REYPLAST,4980,Easy,04-03-2026,25CM,NATURAL,1,0
MACETA UMBRELLA PINK 30 CM,OUTZEN,7990,Easy,04-03-2026,30CM,DESCONOCIDO,1,0
MACETERO ENLOZADO BLANCO 3 PIEZAS,DECOGREEN,41990,Easy,04-03-2026,SIN MEDIDAS,DESCONOCIDO,1,0
MACETA HUDSON ANTIQUE BASALT 27.94 CM,OUTZEN,4893,Easy,04-03-2026,27.94CM,DESCONOCIDO,1,0
PORTA MACETA NEGRO 20.5 CM,OUTZEN,5593,Easy,04-03-2026,20.5CM,DESCONOCIDO,1,0
MACETA LECCE 63X30X30 CM,OUTZEN,31493,Easy,04-03-2026,63X30X30,DESCONOCIDO,1,0
MACETA SALAMANCA 50 CM,OUTZEN,34993,Easy,04-03-2026,50CM,DESCONOCIDO,1,0
SET 2 MACETEROS CON PLATO BIODEGRADABLE BAMBOO ACTUAL BLANCO,DECOGREEN,16990,Easy,04-03-2026,SIN MEDIDAS,DESCONOCIDO,2,1
SOPORTE MACETA NEGRO OUTZEN,OUTZEN,13993,Easy,04-03-2026,SIN MEDIDAS,DESCONOCIDO,1,0
SET 4 MACETEROS BIO BAMBOO ACTUAL BLANCO 18X24 CM,DECOGREEN,21990,Easy,04-03-2026,18X24,DESCONOCIDO,4,1
MACETA RIMINI BLANCO 20X51X20 CM,OUTZEN,18624,Easy,04-03-2026,20X51X20,DESCONOCIDO,1,0
MACETERO M + MACETERO L OCTOGONALES METALICOS,DECOGREEN,41990,Easy,04-03-2026,M,DESCONOCIDO,1,0
MACETA BOCAYA 28 CM,OUTZEN,18193,Easy,04-03-2026,28CM,DESCONOCIDO,1,0
MACETERO N14 TAUPE 40 CM,REYPLAST,8990,Easy,04-03-2026,40CM,DESCONOCIDO,1,0
FIGURA DECORATIVA BUDA 47 CM,OUTZEN,20993,Easy,04-03-2026,47CM,DESCONOCIDO,1,0
MACETERO N6 TAUPE 17 CM,REYPLAST,990,Easy,04-03-2026,17CM,DESCONOCIDO,1,0
MACETA BOCAYA 36 CM,OUTZEN,25193,Easy,04-03-2026,36CM,DESCONOCIDO,1,0
SET MACETERO ENLOZADO MOSTAZA M+L,DECOGREEN,33990,Easy,04-03-2026,M,DESCONOCIDO,1,0
MACETA LEYVA 33 CM,OUTZEN,10493,Easy,04-03-2026,33CM,DESCONOCIDO,1,0
MACETERO 16.8 CM HANOVER VINO JAPI,JAPI,5098,Easy,04-03-2026,16.8CM,DESCONOCIDO,1,0
MACETA CERAMICA ALINE M GLOSSY BLANCO,OUTZEN,6993,Easy,04-03-2026,M,CERAMICA,1,0
MACETERO OSLO AZUL 40X40 CM,PLANT ME,54990,Easy,04-03-2026,40X40,DESCONOCIDO,1,0
MACETA AMARILLO 17X16X16 CM,OUTZEN,6993,Easy,04-03-2026,17X16X16,DESCONOCIDO,1,0
MACETA BOCAYA AZUL 28 CM,OUTZEN,18193,Easy,04-03-2026,28CM,DESCONOCIDO,1,0
MACETA AGAVE MOSTAZA 12X14 CM,OUTZEN,3493,Easy,04-03-2026,12X14,DESCONOCIDO,1,0
MACETERO AUTOR REGANTE CHONO BLANCO 28X27 CM,PLANT ME,49990,Easy,04-03-2026,28X27,DESCONOCIDO,1,0
MACETERO CON PLATO BIODEGRADABLE BAMBOO CURVO NEGRO 13X16.5X16.5 CM,DECOGREEN,4990,Easy,04-03-2026,13X16.5X16.5,DESCONOCIDO,1,0
MACETA SALAMANCA 35 CM,OUTZEN,20993,Easy,04-03-2026,35CM,DESCONOCIDO,1,0
MACETA RUSTIC CASK 44 CM SANDSTONE,JAPI,44990,Easy,04-03-2026,44CM,DESCONOCIDO,1,0
MACETA TALLA S CANASTO BASE BUKAN OUTZEN,OUTZEN,10493,Easy,04-03-2026,S,DESCONOCIDO,1,0
MACETA 22 CM FIBER CLAY ELENA BLANCO,OUTZEN,11893,Easy,04-03-2026,22CM,CEMENTICIO,1,0
MACETA CON PLATO COCO 21.4 CM,OUTZEN,4893,Easy,04-03-2026,21.4CM,DESCONOCIDO,1,0
MACETA PORTER COTTON 31 CM,OUTZEN,6993,Easy,04-03-2026,31CM,DESCONOCIDO,1,0
MACETERO CANASTO 20 CM RAMA NATURAL,DECOGREEN,5990,Easy,04-03-2026,20CM,DESCONOCIDO,1,0
MACETA BOCAYA BEIGE 36 CM,OUTZEN,25193,Easy,04-03-2026,36CM,DESCONOCIDO,1,0
MACETA HUDSON ANTIQUE BASALT 44.45 CM,OUTZEN,19593,Easy,04-03-2026,44.45CM,DESCONOCIDO,1,0
MACETERO METALICO ASA L NEGRO MATE 24X12X10 CM,DECOGREEN,4990,Easy,04-03-2026,24X12X10,METAL,1,0
MACETERO CAPRI TAUPE OUTZEN,OUTZEN,9093,Easy,04-03-2026,SIN MEDIDAS,DESCONOCIDO,1,0
MACETA BILLIE BLANCO 48.8 CM,OUTZEN,13993,Easy,04-03-2026,48.8CM,DESCONOCIDO,1,0
HUERTO 80X69X39 CM VENEZIA ARTEVASI.,OUTZEN,34993,Easy,04-03-2026,80X69X39,DESCONOCIDO,1,0
MACETERO ELEFANTE OUTZEN,OUTZEN,20993,Easy,04-03-2026,SIN MEDIDAS,DESCONOCIDO,1,0
SET MACETERO + PLATO BIO BAMBOO ACTUAL BLANCO 18X24 CM,DECOGREEN,7990,Easy,04-03-2026,18X24,DESCONOCIDO,1,0
MACETA SIRACUSA 18 CM,OUTZEN,4893,Easy,04-03-2026,18CM,DESCONOCIDO,1,0
MACETA CERAMICA ALINE S GLOSSY BLANCO,OUTZEN,4893,Easy,04-03-2026,S,CERAMICA,1,0
MACETERO CON PLATO BIODEGRADABLE BAMBOO CURVO GRIS 13X16.5X16.5 CM,DECOGREEN,4990,Easy,04-03-2026,13X16.5X16.5,DESCONOCIDO,1,0
MACETA 25.5 CM FIBER CLAY GAIA DORADO,OUTZEN,13993,Easy,04-03-2026,25.5CM,CEMENTICIO,1,0
MACETA AUTORREGANTE STONE GRAFITO 33 CM,OUTZEN,27993,Easy,04-03-2026,33CM,DESCONOCIDO,1,0
MACETA 18 CM CAPRI TAUPE OUTZEN,OUTZEN,2093,Easy,04-03-2026,18CM,DESCONOCIDO,1,0
MACETA 21 CM MADAGASCAR VERDE SECO OUTZEN,OUTZEN,1743,Easy,04-03-2026,21CM,DESCONOCIDO,1,0
PLATO PARA MACETERO 22 CM PIEDRA TAUPE,REYPLAST,1290,Easy,04-03-2026,22CM,DESCONOCIDO,1,0
MACETA ETOLIOS 14 CM,OUTZEN,4193,Easy,04-03-2026,14CM,DESCONOCIDO,1,0
SET 2 MACETEROS ARENA SUCULENTA NARANJO 5X16X16 CM,DECOGREEN,6590,Easy,04-03-2026,5X16X16,DESCONOCIDO,2,1
MACETERO 45 CM RUSTIC ROUND PLANTER V JAPI,JAPI,39990,Easy,04-03-2026,45CM,DESCONOCIDO,1,0
MACETA RUSTIC CASK 55 CM CHARCOAL,JAPI,69990,Easy,04-03-2026,55CM,DESCONOCIDO,1,0
